model_name,accuracy,macro_f1,recall_sell,recall_buy,total_return,mdd,num_trades
E0 Baseline,0.4066390041493776,0.3159795154571234,0.7692307692307693,0.07446808510638298,-0.3844136211333844,0.3878941737648935,198
E1 ProtoNet (no few-shot),0.17842323651452283,0.16691737401955517,0.0673076923076923,0.11702127659574468,-0.14596589009764382,0.14596589009764382,57
E2 ProtoNet (few-shot),0.25311203319502074,0.22911919258721455,0.04807692307692308,0.40425531914893614,-0.23504096436607136,0.2411052672381374,117
